;"SL";"SW";"PL";"PW";"Set";"Vers";"Virg"
"c1";5.1;3.5;1.4;0.2;1;0;0
"c2";4.9;3;1.4;0.2;1;0;0
"c3";4.7;3.2;1.3;0.2;1;0;0
"c4";4.6;3.1;1.5;0.2;1;0;0
"c5";5;3.6;1.4;0.2;1;0;0
"c6";5.4;3.9;1.7;0.4;1;0;0
"c7";4.6;3.4;1.4;0.3;1;0;0
"c8";5;3.4;1.5;0.2;1;0;0
"c9";4.4;2.9;1.4;0.2;1;0;0
"c10";4.9;3.1;1.5;0.1;1;0;0
"c11";5.4;3.7;1.5;0.2;1;0;0
"c12";4.8;3.4;1.6;0.2;1;0;0
"c13";4.8;3;1.4;0.1;1;0;0
"c14";4.3;3;1.1;0.1;1;0;0
"c15";5.8;4;1.2;0.2;1;0;0
"c16";5.7;4.4;1.5;0.4;1;0;0
"c17";5.4;3.9;1.3;0.4;1;0;0
"c18";5.1;3.5;1.4;0.3;1;0;0
"c19";5.7;3.8;1.7;0.3;1;0;0
"c20";5.1;3.8;1.5;0.3;1;0;0
"c21";5.4;3.4;1.7;0.2;1;0;0
"c22";5.1;3.7;1.5;0.4;1;0;0
"c23";4.6;3.6;1;0.2;1;0;0
"c24";5.1;3.3;1.7;0.5;1;0;0
"c25";4.8;3.4;1.9;0.2;1;0;0
"c26";5;3;1.6;0.2;1;0;0
"c27";5;3.4;1.6;0.4;1;0;0
"c28";5.2;3.5;1.5;0.2;1;0;0
"c29";5.2;3.4;1.4;0.2;1;0;0
"c30";4.7;3.2;1.6;0.2;1;0;0
"c31";4.8;3.1;1.6;0.2;1;0;0
"c32";5.4;3.4;1.5;0.4;1;0;0
"c33";5.2;4.1;1.5;0.1;1;0;0
"c34";5.5;4.2;1.4;0.2;1;0;0
"c35";4.9;3.1;1.5;0.1;1;0;0
"c36";5;3.2;1.2;0.2;1;0;0
"c37";5.5;3.5;1.3;0.2;1;0;0
"c38";4.9;3.1;1.5;0.1;1;0;0
"c39";4.4;3;1.3;0.2;1;0;0
"c40";5.1;3.4;1.5;0.2;1;0;0
"c41";5;3.5;1.3;0.3;1;0;0
"c42";4.5;2.3;1.3;0.3;1;0;0
"c43";4.4;3.2;1.3;0.2;1;0;0
"c44";5;3.5;1.6;0.6;1;0;0
"c45";5.1;3.8;1.9;0.4;1;0;0
"c46";4.8;3;1.4;0.3;1;0;0
"c47";5.1;3.8;1.6;0.2;1;0;0
"c48";4.6;3.2;1.4;0.2;1;0;0
"c49";5.3;3.7;1.5;0.2;1;0;0
"c50";5;3.3;1.4;0.2;1;0;0
"c51";7;3.2;4.7;1.4;0;1;0
"c52";6.4;3.2;4.5;1.5;0;1;0
"c53";6.9;3.1;4.9;1.5;0;1;0
"c54";5.5;2.3;4;1.3;0;1;0
"c55";6.5;2.8;4.6;1.5;0;1;0
"c56";5.7;2.8;4.5;1.3;0;1;0
"c57";6.3;3.3;4.7;1.6;0;1;0
"c58";4.9;2.4;3.3;1;0;1;0
"c59";6.6;2.9;4.6;1.3;0;1;0
"c60";5.2;2.7;3.9;1.4;0;1;0
"c61";5;2;3.5;1;0;1;0
"c62";5.9;3;4.2;1.5;0;1;0
"c63";6;2.2;4;1;0;1;0
"c64";6.1;2.9;4.7;1.4;0;1;0
"c65";5.6;2.9;3.6;1.3;0;1;0
"c66";6.7;3.1;4.4;1.4;0;1;0
"c67";5.6;3;4.5;1.5;0;1;0
"c68";5.8;2.7;4.1;1;0;1;0
"c69";6.2;2.2;4.5;1.5;0;1;0
"c70";5.6;2.5;3.9;1.1;0;1;0
"c71";5.9;3.2;4.8;1.8;0;1;0
"c72";6.1;2.8;4;1.3;0;1;0
"c73";6.3;2.5;4.9;1.5;0;1;0
"c74";6.1;2.8;4.7;1.2;0;1;0
"c75";6.4;2.9;4.3;1.3;0;1;0
"c76";6.6;3;4.4;1.4;0;1;0
"c77";6.8;2.8;4.8;1.4;0;1;0
"c78";6.7;3;5;1.7;0;1;0
"c79";6;2.9;4.5;1.5;0;1;0
"c80";5.7;2.6;3.5;1;0;1;0
"c81";5.5;2.4;3.8;1.1;0;1;0
"c82";5.5;2.4;3.7;1;0;1;0
"c83";5.8;2.7;3.9;1.2;0;1;0
"c84";6;2.7;5.1;1.6;0;1;0
"c85";5.4;3;4.5;1.5;0;1;0
"c86";6;3.4;4.5;1.6;0;1;0
"c87";6.7;3.1;4.7;1.5;0;1;0
"c88";6.3;2.3;4.4;1.3;0;1;0
"c89";5.6;3;4.1;1.3;0;1;0
"c90";5.5;2.5;4;1.3;0;1;0
"c91";5.5;2.6;4.4;1.2;0;1;0
"c92";6.1;3;4.6;1.4;0;1;0
"c93";5.8;2.6;4;1.2;0;1;0
"c94";5;2.3;3.3;1;0;1;0
"c95";5.6;2.7;4.2;1.3;0;1;0
"c96";5.7;3;4.2;1.2;0;1;0
"c97";5.7;2.9;4.2;1.3;0;1;0
"c98";6.2;2.9;4.3;1.3;0;1;0
"c99";5.1;2.5;3;1.1;0;1;0
"c100";5.7;2.8;4.1;1.3;0;1;0
"c101";6.3;3.3;6;2.5;0;0;1
"c102";5.8;2.7;5.1;1.9;0;0;1
"c103";7.1;3;5.9;2.1;0;0;1
"c104";6.3;2.9;5.6;1.8;0;0;1
"c105";6.5;3;5.8;2.2;0;0;1
"c106";7.6;3;6.6;2.1;0;0;1
"c107";4.9;2.5;4.5;1.7;0;0;1
"c108";7.3;2.9;6.3;1.8;0;0;1
"c109";6.7;2.5;5.8;1.8;0;0;1
"c110";7.2;3.6;6.1;2.5;0;0;1
"c111";6.5;3.2;5.1;2;0;0;1
"c112";6.4;2.7;5.3;1.9;0;0;1
"c113";6.8;3;5.5;2.1;0;0;1
"c114";5.7;2.5;5;2;0;0;1
"c115";5.8;2.8;5.1;2.4;0;0;1
"c116";6.4;3.2;5.3;2.3;0;0;1
"c117";6.5;3;5.5;1.8;0;0;1
"c118";7.7;3.8;6.7;2.2;0;0;1
"c119";7.7;2.6;6.9;2.3;0;0;1
"c120";6;2.2;5;1.5;0;0;1
"c121";6.9;3.2;5.7;2.3;0;0;1
"c122";5.6;2.8;4.9;2;0;0;1
"c123";7.7;2.8;6.7;2;0;0;1
"c124";6.3;2.7;4.9;1.8;0;0;1
"c125";6.7;3.3;5.7;2.1;0;0;1
"c126";7.2;3.2;6;1.8;0;0;1
"c127";6.2;2.8;4.8;1.8;0;0;1
"c128";6.1;3;4.9;1.8;0;0;1
"c129";6.4;2.8;5.6;2.1;0;0;1
"c130";7.2;3;5.8;1.6;0;0;1
"c131";7.4;2.8;6.1;1.9;0;0;1
"c132";7.9;3.8;6.4;2;0;0;1
"c133";6.4;2.8;5.6;2.2;0;0;1
"c134";6.3;2.8;5.1;1.5;0;0;1
"c135";6.1;2.6;5.6;1.4;0;0;1
"c136";7.7;3;6.1;2.3;0;0;1
"c137";6.3;3.4;5.6;2.4;0;0;1
"c138";6.4;3.1;5.5;1.8;0;0;1
"c139";6;3;4.8;1.8;0;0;1
"c140";6.9;3.1;5.4;2.1;0;0;1
"c141";6.7;3.1;5.6;2.4;0;0;1
"c142";6.9;3.1;5.1;2.3;0;0;1
"c143";5.8;2.7;5.1;1.9;0;0;1
"c144";6.8;3.2;5.9;2.3;0;0;1
"c145";6.7;3.3;5.7;2.5;0;0;1
"c146";6.7;3;5.2;2.3;0;0;1
"c147";6.3;2.5;5;1.9;0;0;1
"c148";6.5;3;5.2;2;0;0;1
"c149";6.2;3.4;5.4;2.3;0;0;1
"c150";5.9;3;5.1;1.8;0;0;1
